Date,A0,D1,D2,D3
2018-08-13,1999.437839698482,-385.31305433731643,30.852448176624364,9.946148420483297
2018-08-14,1999.437839698482,-385.31305433731643,19.869094388218997,3.3166632973714343
2018-08-15,1999.437839698482,-385.31305433731643,-15.299121237152434,-0.0814125406176629
2018-08-16,1999.437839698482,-385.31305433731643,24.386416498212213,4.7529550070023845
2018-08-17,1999.437839698482,-385.31305433731643,-53.12652799417529,16.75511535623056
2018-08-20,1999.437839698482,-385.31305433731643,10.223501309856942,14.025867443986527
2018-08-21,1999.437839698482,-385.31305433731643,-4.2342320558948074,-13.18405571806241
2018-08-22,1999.437839698482,-385.31305433731643,17.06499248816425,-3.5342405102601617
2018-08-23,1999.437839698482,-385.31305433731643,-11.532360627568153,-0.9661415935149478
2018-08-24,1999.437839698482,-385.31305433731643,-0.7914922940113343,-5.699339375016109
2018-08-27,1999.437839698482,-385.31305433731643,13.027449669639907,10.053099415833742
2018-08-28,1999.437839698482,-385.31305433731643,8.696704257467616,-4.788207363221318
2018-08-29,1999.437839698482,-385.31305433731643,-17.399124886050657,-0.8189460988029964
2018-08-30,1999.437839698482,-385.31305433731643,-0.2941373620884917,6.381594133637719
2018-08-31,1999.437839698482,-385.31305433731643,4.8211688698442,1.6725750603153529
2018-09-04,1999.437839698482,-385.31305433731643,-31.80217383982753,1.7911905616040258
2018-09-05,1999.437839698482,-385.31305433731643,-16.7072470167563,-10.056194330503274
2018-09-06,1999.437839698482,-385.31305433731643,-3.402919154276873,0.396691848646924
2018-09-07,1999.437839698482,-385.31305433731643,-32.23440479132688,-2.173664350167826
2018-09-10,1999.437839698482,-385.31305433731643,9.581985101549634,-5.999915496941725
2018-09-11,1999.437839698482,-385.31305433731643,12.533808445913479,-5.704915423774139
2018-09-12,1999.437839698482,-385.31305433731643,3.8264166312797556,-12.26079730171952
2018-09-13,1999.437839698482,-385.31305433731643,-9.76929932126555,8.913551521984829
2018-09-14,1999.437839698482,-385.31305433731643,20.54019683896604,-8.13483405085509
2018-09-17,1999.437839698482,-385.31305433731643,-21.221084465175096,10.548640197493796
2018-09-18,1999.437839698482,-385.31305433731643,-20.750290452779467,-18.484233595667035
2018-09-19,1999.437839698482,-385.31305433731643,5.092581218419298,-6.264904042725817
2018-09-20,1999.437839698482,-385.31305433731643,14.178197776183538,17.15811631936839
2018-09-21,1999.437839698482,-385.31305433731643,-2.9791072621269166,-19.412512337033093
2018-09-24,1999.437839698482,-385.31305433731643,-4.213800421197334,-13.504539318388254
2018-09-25,1999.437839698482,-385.31305433731643,-3.5210117030401307,2.5173746567206763
2018-09-26,1999.437839698482,-385.31305433731643,11.290258121490353,-5.352323841029545
2018-09-27,1999.437839698482,-385.31305433731643,-21.919685942404612,0.16975869337127847
2018-09-28,1999.437839698482,-385.31305433731643,11.819170429348446,1.8597115214817848
2018-10-01,1999.437839698482,-385.31305433731643,6.2735646064931245,5.157258234863292
2018-10-02,1999.437839698482,-385.31305433731643,5.04930411872229,5.461553227061842
2018-10-03,1999.437839698482,-385.31305433731643,-4.282311318608208,4.499450031345702
2018-10-04,1999.437839698482,-385.31305433731643,-9.281242788773085,-3.2493296384872963
2018-10-05,1999.437839698482,-385.31305433731643,2.9982478856287003,0.39503129208091536
2018-10-08,1999.437839698482,-385.31305433731643,5.636099288633233,2.4501603096240103
2018-10-09,1999.437839698482,-385.31305433731643,14.4467686463382,0.012975061294525858
2018-10-10,1999.437839698482,-385.31305433731643,3.193451172688526,-2.3575740997502805
2018-10-11,1999.437839698482,-385.31305433731643,11.933916759308744,-10.209624801937991
2018-10-12,1999.437839698482,-385.31305433731643,6.377475101412557,4.947596278942768
2018-10-15,1999.437839698482,-385.31305433731643,-27.335403779260304,-0.6617118616037772
2018-10-16,1999.437839698482,-385.31305433731643,11.576188465386508,4.4135709227223
2018-10-17,1999.437839698482,-385.31305433731643,3.7962908224984346,-3.7387952183407833
2018-10-18,1999.437839698482,-385.31305433731643,-0.7671308414730049,9.131219068832621
2018-10-19,1999.437839698482,-385.31305433731643,7.675143825567147,-0.3374025769801392
2018-10-22,1999.437839698482,-385.31305433731643,-3.8289662553963524,5.571764160615118
2018-10-23,1999.437839698482,-385.31305433731643,8.213316398721304,0.611837156935394
2018-10-24,1999.437839698482,-385.31305433731643,5.562206065088731,11.172423103647162
2018-10-25,1999.437839698482,-385.31305433731643,-4.268111853959709,-3.369915518286973
2018-10-26,1999.437839698482,-385.31305433731643,0.0467690254037052,-4.707259608273915
2018-10-29,1999.437839698482,-385.31305433731643,-15.301545700709823,4.61983843231701
2018-10-30,1999.437839698482,-385.31305433731643,1.4124958215715822,-7.697496569434634
2018-10-31,1999.437839698482,-385.31305433731643,-16.91585550515154,3.9996323072638233
2018-11-01,1999.437839698482,-385.31305433731643,6.618591935819239,-3.5607237807268746
2018-11-02,1999.437839698482,-385.31305433731643,-3.8312581023454584,0.5310065063053742
2018-11-05,1999.437839698482,-385.31305433731643,8.739786808971644,9.802196450208385
2018-11-06,1999.437839698482,-385.31305433731643,0.24423188225676995,-0.908629984677674
2018-11-07,1999.437839698482,-385.31305433731643,14.92994693658531,-0.361232721192124
2018-11-08,1999.437839698482,-385.31305433731643,-9.540270833440587,4.82634077981524
2018-11-09,1999.437839698482,-385.31305433731643,-12.413356232330642,-10.99757450331407
2018-11-12,1999.437839698482,-385.31305433731643,5.519147113045108,8.686881744972737
2018-11-13,1999.437839698482,-385.31305433731643,-7.285108238525055,9.162755326571954
2018-11-14,1999.437839698482,-385.31305433731643,-3.3584532501445494,-9.6277238274794
2018-11-15,1999.437839698482,-385.31305433731643,-4.398145855252977,7.768777697761266
2018-11-16,1999.437839698482,-385.31305433731643,2.2949001324213327,9.664757158427676
2018-11-19,1999.437839698482,-385.31305433731643,5.0521078067955045,1.1309730133476137
2018-11-20,1999.437839698482,-385.31305433731643,-5.057480998457294,5.437974439097786
2018-11-21,1999.437839698482,-385.31305433731643,-3.885757356498857,7.563564254996976
2018-11-23,1999.437839698482,-385.31305433731643,8.282440470452798,-2.7799617250271353
2018-11-26,1999.437839698482,-385.31305433731643,-4.85211694749961,-2.9285729063010706
2018-11-27,1999.437839698482,-385.31305433731643,3.694141922201112,1.4883903182295342
2018-11-28,1999.437839698482,-385.31305433731643,12.095231142975166,-2.1108469242699073
2018-11-29,1999.437839698482,-385.31305433731643,-6.455799858222321,-4.571553752846569
2018-11-30,1999.437839698482,-385.31305433731643,12.042566368165808,-18.609052991614163
2018-12-03,1999.437839698482,-385.31305433731643,2.8185976107059787,5.516980650421175
2018-12-04,1999.437839698482,-385.31305433731643,-15.636149623497687,0.3527023093614332
2018-12-06,1999.437839698482,-385.31305433731643,8.747254487203207,7.000108964905735
2018-12-07,1999.437839698482,-385.31305433731643,-4.655428228221723,0.9846649571504997
2018-12-10,1999.437839698482,-385.31305433731643,4.044844966598902,-0.024931769777879254
2018-12-11,1999.437839698482,-385.31305433731643,0.24007502443362227,0.21652176112610277
2018-12-12,1999.437839698482,-385.31305433731643,1.3291588435604922,2.3046249883222742
2018-12-13,1999.437839698482,-385.31305433731643,7.386704430444695,0.8573261065236011
2018-12-14,1999.437839698482,-385.31305433731643,4.9026869710756955,2.186058009259142
2018-12-17,1999.437839698482,-385.31305433731643,13.768722038441354,4.501316191777647
2018-12-18,1999.437839698482,-385.31305433731643,-3.2141009883826257,8.243990248591473
2018-12-19,1999.437839698482,-385.31305433731643,4.411004016979291,-4.928866581468242
2018-12-20,1999.437839698482,-385.31305433731643,5.304400658740832,6.61923458260884
2018-12-21,1999.437839698482,-385.31305433731643,3.7987416852706417,10.273067493734231
2018-12-24,1999.437839698482,-385.31305433731643,5.22884180728596,-1.7231837036086404
2018-12-26,1999.437839698482,-385.31305433731643,1.2202244040188077,-1.0659929127645
2018-12-27,1999.437839698482,-385.31305433731643,-5.314781792270935,1.066086441412267
2018-12-28,1999.437839698482,-385.31305433731643,-0.7505519961644893,10.445637651067159
2018-12-31,1999.437839698482,-385.31305433731643,6.4311424043864065,-0.11377339114454799
2019-01-02,1999.437839698482,-385.31305433731643,-7.049166275686787,3.52105495693732
2019-01-03,1999.437839698482,-385.31305433731643,2.9592130181119103,-1.871950295757074
2019-01-04,1999.437839698482,-385.31305433731643,15.973760220163456,-17.1478885562764
2019-01-07,1999.437839698482,-385.31305433731643,-5.9007441993983605,7.108116502435905
2019-01-08,1999.437839698482,-385.31305433731643,-9.945881841544264,-5.32745778948788
2019-01-09,1999.437839698482,-385.31305433731643,12.00323065532848,8.955348920992265
2019-01-10,1999.437839698482,-385.31305433731643,7.108879653357718,-11.401167827931374
2019-01-11,1999.437839698482,-385.31305433731643,-6.545020675040604,11.57635566544755
2019-01-14,1999.437839698482,-385.31305433731643,5.457874225000694,10.301686245165115
2019-01-15,1999.437839698482,-385.31305433731643,11.418661898979764,-22.31895875308581
2019-01-16,1999.437839698482,-385.31305433731643,-12.515031301622315,-10.059975840637009
2019-01-17,1999.437839698482,-385.31305433731643,9.36499272574082,9.798221476505915
2019-01-18,1999.437839698482,-385.31305433731643,-17.78884648197797,7.640835104939555
2019-01-22,1999.437839698482,-385.31305433731643,4.2589728686577075,-0.5764662712503821
2019-01-23,1999.437839698482,-385.31305433731643,1.8185875812349082,7.692269868872245
2019-01-24,1999.437839698482,-385.31305433731643,2.8958609408894347,4.050367859351098
2019-01-25,1999.437839698482,-385.31305433731643,-7.429340312461505,4.7621148695253055
2019-01-28,1999.437839698482,-385.31305433731643,-15.861776444173614,-4.717526256312283
2019-01-29,1999.437839698482,-385.31305433731643,16.34927042842739,9.632051013243483
2019-01-30,1999.437839698482,-385.31305433731643,-9.984445638368356,8.235943178712148
2019-01-31,1999.437839698482,-385.31305433731643,-1.7155526178712535,0.6376965081454955
2019-02-01,1999.437839698482,-385.31305433731643,6.809935436316948,4.430600215199519
2019-02-04,1999.437839698482,-385.31305433731643,-2.2935312493142987,9.524496749449185
2019-02-05,1999.437839698482,-385.31305433731643,-0.27075531662177355,-13.219309602112503
2019-02-06,1999.437839698482,-385.31305433731643,6.37875900692211,12.57964907912779
2019-02-07,1999.437839698482,-385.31305433731643,7.211263525735831,5.13977954296783
2019-02-08,1999.437839698482,-385.31305433731643,-5.525590755581419,-7.8714119928952755
2019-02-11,1999.437839698482,-385.31305433731643,0.4761373497208581,-1.8587691064759326
2019-02-12,1999.437839698482,-385.31305433731643,9.357157872841725,-4.531251424823012
2019-02-13,1999.437839698482,-385.31305433731643,10.059965029833165,3.966414227415868
2019-02-14,1999.437839698482,-385.31305433731643,-3.482839270992258,11.379741138565834
2019-02-15,1999.437839698482,-385.31305433731643,5.628873023648993,-13.49520965855777
2019-02-19,1999.437839698482,-385.31305433731643,-1.8869483474707636,26.928283212386816
2019-02-20,1999.437839698482,-385.31305433731643,-7.604332949056101,-18.414051498878024
2019-02-21,1999.437839698482,-385.31305433731643,-0.06797896175530127,-3.031461363865162
2019-02-22,1999.437839698482,-385.31305433731643,19.55994649852059,-0.0005853288372463794
2019-02-25,1999.437839698482,-385.31305433731643,3.8528802967075535,5.62842137630642
2019-02-26,1999.437839698482,-385.31305433731643,-9.307215709312374,7.945930565902273
2019-02-27,1999.437839698482,-385.31305433731643,5.397289956952932,-4.134699242297216
2019-02-28,1999.437839698482,-385.31305433731643,7.424628081551816,3.2690509058358828
2019-03-01,1999.437839698482,-385.31305433731643,-5.084145455741208,-2.633005611481508
2019-03-04,1999.437839698482,-385.31305433731643,-0.4717933183177081,-10.599969074539786
2019-03-05,1999.437839698482,-385.31305433731643,5.407105345299698,-0.9310800942964761
2019-03-06,1999.437839698482,-385.31305433731643,6.229409766582535,6.4065596666874285
